"Location","Date","Description","Deaths","Injuries"
"Saudi Arabia","20 November 1979","The Grand Mosque seizure, in Mecca by the Ikhwan.","244","180"
"Syria","29 November 1981","The 1981 Azbakiyah bombing, in Damascus, by the Muslim Brotherhood.,","200",""
"Lebanon","April 18, 1983","The 1983 U.S. Embassy bombing, in Beirut by the Islamic Jihad Organization.","63","120"
"Lebanon","October 23, 1983","The 1983 Beirut barracks bombing by the Islamic Jihad Organization.","307","75"
"Kuwait","December 12, 1983","The 90-minute coordinated 1983 Kuwait bombings of six key foreign and Kuwaiti installations including two embassies, the airport, and the country's main petro-chemical plant, was more notable for the damage it might have caused than what was actually destroyed. What could have been ""the worst terrorist episode of the twentieth century in the Middle East"" succeeded in killing only six people because of the bombs' faulty rigging.","5","0"
"Lebanon","September 20, 1984","The 1984 United States embassy annex bombing in Beirut.","24","0"
"Indonesia","January 21, 1985","The Buddhist Borobudur temple in Java was damaged by 9 bombs.","0","0"
"Spain","April 12, 1985","1985 El Descanso bombing.","18","82"
"Greece","June 14, 1985","TWA Flight 847 hijacking.","1","0"
"Denmark","22 July 1985","1985 Copenhagen bombings","1","26"
"Turkey","September 6, 1986","Neve Shalom Synagogue attack.","22","0"
"Israel","July 7, 1989","Tel Aviv Jerusalem bus 405 suicide attack, near Kiryat Yearim.","16","0"
"Egypt","February 4, 1990","A bus carrying Israeli tourists in Egypt was attacked by Islamic Jihad Movement in Palestine.","11","17"
"China","February 2, 1992","1992 Ürümqi bombings","3","23"
"Argentina","March 17, 1992","The 1992 attack on Israeli embassy in Buenos Aires","29","242"
"Yemen","December 29, 1992","The 1992 Yemen hotel bombings by al-Qaeda","2","7"
"United States","January 25, 1993","1993 shootings at CIA Headquarters in Langley, Virginia.","2","3"
"United States","February 26, 1993","World Trade Center bombing, in New York City.","6","1,042"
"India","March 12, 1993","Serial blasts in Mumbai","257","0"
"Turkey","July 2, 1993","Sivas Massacre, Arson attack at a gathering in Sivas killing 35 intellectuals from Turkey, most of whom were Alevis.","35","0"
"Israel","April 6, 1994","Afula Bus suicide bombing","8","55"
"Israel","April 13, 1994","Hadera bus station suicide bombing","5","30"
"Argentina","July 18, 1994","Buenos Aires Jewish Center AMIA bombing","85","300"
"United Kingdom","July 26, 1994","The 1994 London Israeli Embassy attack","0","20"
"Israel","October 19, 1994","The Dizengoff Street bus bombing was a Hamas suicide attack on a passenger bus driving down Dizengoff Street in Tel Aviv.","22","50"
"Israel","November 11, 1994","Netzarim Junction bicycle bombing","3","12"
"Philippines","December 11, 1994","A bomb explodes on board Philippine Airlines Flight 434 which was flying from Manila to Tokyo, the plane lands safely at Naha Airport in Okinawa.","1","10"
"Algeria","December 24, 1994","Air France Flight 8969 hijacking in Algiers by 3 members of Armed Islamic Group of Algeria and another terrorist.","7","25"
"Israel","January 22, 1995","The Beit Lid suicide bombing was a suicide attack by Palestinian Islamic Jihad","20","69"
"Israel","January 30, 1995","A car bomb exploded outside of a police station.","42","286"
"Israel","July 20, 1995","A bomb on a motor scooter exploded at a marketplace in Jammu. Harkat-ul-Ansar claimed responsibility for the bombing.","17","100+"
"Israel","July 24, 1995","The Ramat Gan bus bombing, a suicide attack by Hamas.","5","33"
"France","July 25, 1995","The 1995 Paris Métro and RER bombings were a series of attacks by the Armed Islamic Group of Algeria in France, continuing through October 17, 1995.","8","100+"
"Croatia","October 20, 1995","In the 1995 Rijeka bombing a suicide bomber attempted to destroy a police station by driving a car with a bomb into the wall of the building.","1","29"
"Israel","February 25, 1996","The Jaffa Road bus bombings, two attacks on Jerusalem route 18 buses by Hamas.","45","52"
"Israel","March 4, 1996","The Dizengoff Center suicide bombing was a terror attack by Hamas on the eve of the Jewish holiday of Purim.","13","130"
"Egypt","April 18, 1996","Islamist gunmen fire on the Europa hotel in Cairo.","18","17"
"Saudi Arabia","June 25, 1996","Khobar Towers bombing","20","372"
"China","February 25, 1997","Three bombs explode on three buses in the Xinjiang capital of Ürümqi","9","74"
"Israel","March 21, 1997","The Café Apropo bombing was a Hamas suicide bomber who detonated at a Tel Aviv sidewalk café.","3","46"
"Israel","July 30, 1997","The 1997 Mahane Yehuda Market bombings were two consecutive suicide bombings carried out by Hamas militants at the Mahane Yehuda Market in Jerusalem.","16","178"
"Bosnia and Herzegovina","September 18, 1997","The 1997 Mostar car bombings.","0","29"
"Egypt","November 17, 1997","Luxor massacre, 6 armed Islamic terrorists attacked tourists at the Luxor ruins.","62","26"
"India","February 14, 1998","A total of 58 people were killed and over 200 injured in 12 bomb attacks in 11 places, in the city of Coimbatore, Tamil Nadu.","58","200+"
"Tanzania","August 7, 1998","1998 United States embassy bombings in Dar es Salaam and Nairobi.","224","4000+"
"Kenya","August 7, 1998","1998 United States embassy bombings in Dar es Salaam and Nairobi.","224","4000+"
"Bangladesh","March 6, 1999","1999 bombing of Jessore","10","150"
"Bangladesh","October 8, 1999","1999 Khulna mosque boming","8","30"
"Malaysia","April 23, 2000","April 23, 2000 – September 19, 2000 2000 Sipadan kidnappings by 6 Islamist militants","0","5"
"Yemen","October 12, 2000","Attack on USS Cole in the Yemeni port of Aden.","17","39"
"India","December 22, 2000","Attack on Red Fort in Delhi","3","0"
"Indonesia","December 24, 2000","Christmas Eve 2000 Indonesia bombings of churches in eight cities.","18","0"
"Israel","March 4, 2001","The 2001 Netanya bombing was a suicide bombing in Netanya, Israel.","3","60+"
"Bangladesh","April 14, 2001","2001 Ramna Batamul bombings","10","17"
"Israel","May 18, 2001","The 2001 HaSharon Mall suicide bombing in Netanya, Israel.","5","100+"
"Philippines","May 27, 2001","Dos Palmas kidnappings","40","18"
"Israel","June 1, 2001","Dolphinarium discotheque suicide bombing","21","100+"
"Israel","August 9, 2001","The Sbarro restaurant suicide bombing was a Hamas terrorist attack on a pizzeria in downtown Jerusalem.","15","130"
"Israel","September 9, 2001","The Nahariya train station suicide bombing was executed by an Arab-Israeli who was sent by Hamas and detonated himself on the crowded platform","3","94"
"Afghanistan","September 9, 2001","The assassination of Ahmad Shah Massoud in Takhar Province, Afghanistan","1","0"
"United States","September 11, 2001","September 11, 2001 – 4 airliners hijacked by 19 al-Qaeda members in the East Coast of the United States: two planes crashed into and destroyed the Twin Towers of the World Trade Center and surrounding buildings in New York City, one went into the Pentagon in Arlington County, Virginia, and one crashed into a field near Shanksville, Pennsylvania, in a failed attempt to hit Washington, D.C. (either the White House or the U.S. Capitol), after a revolt by the plane's passengers.","2,996","6,000+"
"India","October 1, 2001","Attack on the Jammu and Kashmir legislative assembly.","38","0"
"Israel","November 29, 2001","The Pardes Hanna bus bombing was a suicide bombing on a bus from Nazareth to Tel Aviv.","3","7"
"Israel","December 2, 2001","Haifa bus 16 suicide bombing","15","40"
"India","December 13, 2001","Suicide attack on Indian parliament in New Delhi by Pakistan-based Islamist terrorist organizations Jaish-E-Mohammad and Lashkar-e-Toiba, aimed at eliminating the top leadership of India and causing anarchy in the country.","7","12"
"India","January 22, 2002","Attack on an American cultural centre in Kolkata.","5","20"
"Israel","January 25, 2002","The 2002 Tel Aviv outdoor mall bombing was a terrorist attack which occurred in which a Palestinian suicide bomber blew himself up in Tel-Aviv, Israel, injuring at least 24 civilians.","1 (perpetrator)","24"
"Israel","January 27, 2002","Jaffa Street bombing.","2","100+"
"Pakistan","February 1, 2002","Daniel Pearl, an American journalist working for The Wall Street Journal, was beheaded in Pakistan.","1","0"
"Israel","March 2, 2002","The Yeshivat Beit Yisrael massacre was a suicide bombing which occurred in the Beit Yisrael neighborhood in downtown Jerusalem.","12","54"
"Israel","March 9, 2002","The Café Moment bombing was a Palestinian terrorist attack in a coffee shop in downtown Jerusalem, Israel.","12","54"
"Israel","March 20, 2002","The Umm al-Fahm bus bombing was a suicide bombing which occurred on a bus which was passing through Umm al-Fahm in northern Israel.","8","27"
"Israel","March 21, 2002","King George Street bombing.","4","42"
"Israel","March 27, 2002","The Passover massacre was a suicide bombing carried out by Hamas at the Park Hotel in Netanya.","31","140"
"Israel","March 29, 2002","Kiryat HaYovel supermarket bombing.","3","28"
"India","March 30, 2002","Attack on the Raghunath temple","11","20"
"Israel","March 31, 2002","The Matza restaurant suicide bombing occurred, when a Palestinian Hamas suicide bomber detonated his bomb inside the Matza restaurant in Haifa, Israel, near the Grand Canyon shopping mall.","17","40+"
"Israel","April 10, 2002","Yagur Junction bombing.","9","19"
"Tunisia","April 11, 2002","Ghriba synagogue bombing A natural gas truck rigged with explosives detonated in front of the ancient El Ghriba synagogue on the Tunisian island of Djerba.","20","30+"
"Israel","April 12, 2002","2002 Mahane Yehuda Market bombing.","7","104"
"Israel","May 7, 2002","The 2002 Rishon LeZion bombing was a suicide bombing which occurred at a crowded game club located in the new industrial area of Rishon Lezion.","16","57"
"Pakistan","May 8, 2002","2002 Karachi bus bombing A man driving a car bomb detonated next to a bus carrying mostly French engineers.","15","40"
"India","May 14, 2002","Three terrorists attacked a tourist bus near the town of Kaluchak in the Indian state Jammu and Kashmir.","31","47"
"Israel","May 19, 2002","Netanya Market bombing.","4","59"
"Israel","June 5, 2002","Megiddo Junction bus bombing.","14","43"
"United States","July 4, 2002","2002 Los Angeles International Airport shooting.","3","4"
"Israel","June 11, 2002","2002 Herzliya shawarma restaurant bombing.","1","15"
"Pakistan","June 14, 2002","The first of several attacks targeting the U.S. consulate in Karachi.","12","51"
"Israel","June 18, 2002","Patt Junction Bus bombing.","19","74"
"Israel","June 19, 2002","2002 French Hill suicide bombing.","7","50"
"India","July 13, 2002","Militants kill 27 Hindu labourers in Qasim Nagar on the outskirts of Jammu in Jammu and Kashmir.","27","30"
"Israel","July 16, 2002","2002 Immanuel bus attack.","9","20"
"Israel","July 17, 2002","Neve Shaanan Street bombing.","5","40"
"Israel","July 31, 2002","Hebrew University bombing.","9","100"
"Israel","August 4, 2002","Meron Junction Bus 361 attack.","9","38"
"Israel","September 19, 2002","Allenby Street bus bombing.","6","70"
"India","September 24, 2002","Akshardham Temple attack.","32","80"
"Philippines","October 2, 2002","The first of three bomb blasts in Zamboanga City kills 4 people, including one United States Green Beret and wounds 25 others, including another United States Green Beret.","4","25"
"Kuwait","October 8, 2002","Faylaka Island attack Two Kuwaiti jihadists attacked a group of United States Marines, killing one and injuring another. Both attackers were killed.","1","1"
"Indonesia","October 12, 2002","2002 Bali bombings in the tourist district of Kuta on the Indonesian island of Bali, killing 202 people and injuring 240.","202","240"
"Philippines","October 17, 2002","The second of three bomb blasts targets a shopping centre in Zamboanga City, killing at least 7 and wounding about 150 people.","7","150"
"Philippines","October 21, 2002","The third of three bomb blasts targets Fort Pilar, a Catholic shrine in Zamboanga City, killing a Philippine Marine guarding the church and wounding 18 others.","1","18"
"Israel","October 21, 2002","Karkur junction suicide bombing.","14","40+"
"Russia","October 23, 2002","The Moscow theater hostage crisis was the seizure of the crowded Dubrovka Theater by Islamists.","170","700+"
"Israel","October 27, 2002","Sonol gas station bombing.","3","18"
"Israel","November 21, 2002","Kiryat Menachem bus bombing.","11","50"
"India","November 24, 2002","Attack on the Raghunath temple.","14","45"
"Kenya","November 28, 2002","2002 Mombasa attacks Islamic terrorists launch simultaneous attacks against an Israeli-owned hotel in Mombasa and an Israeli charter plane. 13 people (10 Kenyans and 3 Israelis), not including 3 suicide bombers, were killed and 80 injured at the hotel, but the plane was missed by the two missiles fired at it.","13","80"
"Israel","January 5, 2003","Tel Aviv central bus station massacre","23","100+"
"Pakistan","February 28, 2003","A gunman opens fire on the U.S. consulate in Karachi.","2","6"
"Israel","March 5, 2003","Haifa bus 37 suicide bombing.","17","53"
"Israel","April 30, 2003","Mike's Place suicide bombing.","3","50+"
"Saudi Arabia","May 1, 2003","A man dressed in a Royal Saudi Navy uniform penetrated an American base, killing one American, before escaping unscathed.","1","0"
"Saudi Arabia","May 12, 2003","Several heavily armed gunmen open fire and detonate vehicle bombs outside three housing compounds in Riyadh occupied by Westerners.","39","160+"
"Russia","May 12, 2003","The 2003 Znamenskoye suicide bombing.","59","200"
"Morocco","May 16, 2003","A series of suicide bombings in Casablanca.","45","100+"
"Israel","May 18, 2003","2003 French Hill suicide bombings.","7","20"
"Israel","May 19, 2003","Afula mall bombing.","3","70"
"Israel","June 11, 2003","Davidka Square bus bombing.","17","100 (approx.)"
"Indonesia","August 5, 2003","2003 Marriott Hotel bombing in Mega Kuningan, South Jakarta, Indonesia; suicide bomber detonated a car bomb outside the JW Marriott Jakarta lobby.","12","150"
"Israel","August 19, 2003","Shmuel HaNavi bus bombing.","24","130+"
"India","August 25, 2003","Twin car bombings.","54","244"
"Israel","September 9, 2003","Tzrifin bus stop attack.","9","15"
"Israel","September 9, 2003","Café Hillel bombing.","7","50+"
"Israel","October 4, 2003","The Maxim restaurant suicide bombing was a suicide bombing in the beachfront ""Maxim"" restaurant in Haifa, Israel. Among the victims were two families and four children, including a two-month-old baby.","21","51"
"Saudi Arabia","November 8, 2003","A suicide truck bomb detonated outside a housing compound in Laban Valley, west of Riyadh.","17","122"
"Turkey","November 15–20, 2003","2003 Istanbul bombings.","57","700"
"Indonesia","January 10, 2004","2004 Palopo cafe bombing.","4","3"
"Israel","January 14, 2004","2004 Erez Crossing bombing.","4","10"
"Israel","January 29, 2004","Gaza Street bus bombing.","11","50+"
"Russia","February 6, 2004","February 2004 Moscow Metro bombing.","41","102+"
"Israel","February 22, 2004","Liberty Bell Park bus bombing.","8","60"
"Philippines","February 27, 2004","The sinking of SuperFerry 14 by Abu Sayyaf terrorists.","116","0"
"Turkey","March 9, 2004","March 9, 2004 attack on Istanbul restaurant, caused by two Islamic militants who opened fire and detonated pipe bombs. One attacker was killed and the other was seriously injured.","1","5"
"Spain","March 11, 2004","Madrid train bombings.","192","2050"
"Saudi Arabia","April 21, 2004","A car bomb explodes outside a building originally used by the Saudi police.","5","148"
"Saudi Arabia","May 29–30, 2004","The 2004 Khobar massacre was a shooting and bombing campaign led by four Al Qaeda-linked militants against two oil industry installations and a residential compound in Al-Khobar, Saudi Arabia.","22","25"
"Saudi Arabia","June 6, 2004","BBC journalist Simon Cumbers and correspondent Frank Gardner were attacked by Al Qaeda sympathizers while filming an Al Qaeda safehouse in Al-Suwaidi, Riyadh. Cumbers was killed, while Gardner was seriously injured.","1","1"
"Saudi Arabia","June 8, 2004","An American employee of Vinnell Corp. was killed in Riyadh.","1","0"
"Saudi Arabia","June 18, 2004","American Paul Marshall Johnson was beheaded in Riyadh after being kidnapped at a fake police checkpoint on June 13, 2004.","1","0"
"Iraq","July 28, 2004","2004 Baqubah bombing.","68","24+"
"Iraq","August 1, 2004","2004 Iraq churches attacks.","12","71+"
"Saudi Arabia","August 3, 2004","An Irish national was shot and killed in Riyadh.","1","0"
"Bangladesh","August 21, 2004","The 2004 Dhaka grenade attack was carried out by members of Harkat-ul-Jihad al-Islami against an anti-terrorism rally.","24","300+"
"Russia","August 31, 2004","August 2004 Moscow Metro bombing.","10","50"
"Russia","September 1–3, 2004","Beslan school hostage crisis","385","783"
"Indonesia","September 9, 2004","2004 Australian Embassy bombing in Jakarta, Indonesia. A suicide bomber exploded a one-ton car bomb, which was packed into a small Daihatsu delivery van, outside the Australian embassy at Kuningan District, South Jakarta.","9","150+"
"Saudi Arabia","September 15, 2004","A British national working for the Marconi Company was shot to death in his car in Riyadh.","1","0"
"Egypt","October 7, 2004","The 2004 Sinai bombings were three bomb attacks that targeted tourist hotels in Egypt's Sinai Peninsula.","34","171"
"Netherlands","November 2, 2004","The murder of Theo van Gogh by Amsterdam-born jihadist Mohammed Bouyeri.","1","0"
"Indonesia","November 13, 2004","2004 Poso bus bombing. An IED targeting a bus traveling to the majority Christian village of Silancak.","6","3"
"Saudi Arabia","December 6, 2004","Five militants attacked the American consulate in Jeddah. Three attackers were killed by Saudi security forces, and the other two attackers were wounded and arrested.","9","10"
"Israel","January 13, 2005","Karni border crossing attack.","6","4"
"Lebanon","February 14, 2005","Assassination of Rafic Hariri The former Prime Minister of Lebanon, Rafic Hariri, was among 22 people killed when 1,000 kg of TNT exploded near his motorcade in Beirut.","22","0"
"Israel","February 25, 2005","Stage Club bombing.","5","50+"
"Indonesia","May 28, 2005","2005 Tentena market bombings.","22","90"
"India","July 5, 2005","Attack on the Hindu Ram temple in Ayodhya, India.","6","0"
"United Kingdom","July 7, 2005","Multiple bombings in London.","53","700+"
"Israel","July 12, 2005","12 July 2005 HaSharon Mall suicide bombing.","5","90+"
"Egypt","July 23, 2005","Bomb attacks by the Abdullah Azzam Brigades hit Sharm el-Sheikh, an Egyptian resort city.","64","150"
"Bangladesh","August 17, 2005","The 2005 Bangladesh bombings are carried out by Jama'atul Mujahideen Bangladesh.","2","50"
"Indonesia","October 1, 2005","2005 Bali bombings in Jimbaran, Kuta & Bali, Indonesia.","20","100+"
"Israel","October 26, 2005","Hadera Market bombing.","7","55"
"India","October 29, 2005","2005 Tentena market bombings. Over 60 killed and over 180 injured in a series of three attacks in crowded markets and a bus.","60","180+"
"Indonesia","October 30, 2005","Muslim militants on the Indonesian island of Sulawesi behead three Christian girls.","3","0"
"Jordan","November 9, 2005","2005 Amman bombings. A series of coordinated suicide attacks on hotels in Amman, Jordan. Four attackers including a husband and wife team were involved.","60","115+"
"Israel","December 5, 2005","5 December 2005 HaSharon Mall suicide bombing.","5","40+"
"Indonesia","December 31, 2005","A nail bomb explodes in a butcher's shop frequented by Christians in Palu, Indonesia.","8","53"
"Pakistan","March 2, 2006","A suicide car bomb exploded outside the Marriott Hotel, about 20 yards away from the U.S. consulate in Karachi.","4","30"
"India","March 7, 2006","A series of bombings occurred across the Hindu holy city of Varanasi.","28","101"
"Israel","May 30, 2006","Kedumim bombing.","4","0"
"Israel","April 17, 2006","2006 Tel Aviv shawarma restaurant bombing.","11","70"
"Egypt","April 24, 2006","2006 Dahab bombings.","23","80 (approx.)"
"India","April 30, 2006","2006 Doda massacre: Thirty-five Hindus killed by Islamist terrorists in the Doda district in Jammu and Kashmir.","35","0"
"India","July 11, 2006","2006 Mumbai train bombings: Seven bomb blasts over a period of 11 minutes on the Suburban Railway in Mumbai.","209","700+"
"Yemen","September 15, 2006","The September 15, 2006 Yemen attacks were two attempted bombings of oil facilities in Yemen. 5 People dead, 4 of them being the attackers.","5","0"
"Israel","January 29, 2007","Eilat bakery bombing","3","0"
"Turkey","April 18, 2007","Three members of a publishing house are murdered by five assailants in the Zirve Publishing House massacre.","3","0"
"India","May 13, 2007","Jaipur bombings","80","216"
"United Kingdom","June 30, 2007","2007 Glasgow International Airport attack","1","5"
"Philippines","July 10–11, 2007","2007 Basilan beheading incident","34","9"
"Iraq","August 14, 2007","2007 Qahtaniya bombings","~500","~1500"
"Israel","February 4, 2008","2008 Dimona suicide bombing","1","9"
"India","July 26, 2008","2008 Ahmedabad bombings","56","Over 200"
"India","September 13, 2008","Bombing series in Delhi. Pakistani extremist groups plant bombs at several places including India Gate, out of which the ones at Karol Bagh, Connaught Place and Greater Kailash explode leaving around 30 people dead and 130 injured, followed by another attack two weeks later at the congested Mehrauli area, leaving 3 people dead.","30","130"
"Pakistan","September 20, 2008","Islamabad Marriott Hotel bombing: A dump truck filled with explosives detonated outside the Marriott Hotel in Islamabad, killing at least 54, including 2 American servicemen.","54+","0"
"India","September 27, 2008","27 September 2008 Delhi blast: An explosion in Mehrauli's Electronic market called Sarai, killed 3 and injured 23 others.","3","23"
"Iraq","October 2008-January 2009","2008 attacks on Christians in Mosul","40+","?"
